"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=pilosa&show=full"
"Access Time","Fri 2017-03-10 17:36:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","pilosa"
"","timerule","major"
"","taxon_status","all"
"","show","full"
"Elapsed Time","0.105"
"Records Found","865"
"Records Returned","865"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","composition","architecture","thickness","reinforcement"
"184904","occ","","","18126","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Late Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-97.728897","42.821400","Devil's Nest Airstrip","","UNSM Kx-113","US","Nebraska","Knox","stated in text","4","outcrop","SE 1/4 NW 1/4 sec 24 T33N R4W: Parmley 1992\nfrom ""weathered channels along both sides of"" an airstrip that is ""1.5 km long"": Holman and Parmley 2005","gp_mid","-94.25","44.59","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","surface (float),field collection","UNSM","","","","","","""surface collecting... often after rainstorms exposed new material"": Holman and Parmley 2005","NOT in clear superposition with any other locality","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"185408","occ","","","18198","Megalonychidae indet.","family","43596","","Megalonychidae","","family","43596","Hemphillian","","10.3","4.9","Schultz","1990","6208","Chordata","Mammalia","Xenarthra","Megalonychidae","","","","","","-100.099998","36.099998","Higgins Quarries","","Sebits Ranch; Sibbet Ranch; Reed and Longnecker Locs. 124-A and 124-B4","US","Texas","Lipscomb","based on political unit","1","local area","two quarries 4 km south-southeast of Higgins","gp_mid","-97.02","37.94","101","US","","","","","group of beds","","Hemph","4","bottom to top","","","","","""gray, unconsolidated-to-cemented fluvial sand""","sandstone","gray","poorly lithified","","","","","","","","fluvial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","1.8 m below prominent mortar bed (see Arnett)\nall snakes are from Higgins Quarry B","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"185458","occ","","","18201","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-98.800003","42.700001","Honey Creek","","UNSM Ht-103","US","Nebraska","Holt","based on political unit","1","small collection","","gp_mid","-95.36","44.50","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","UNSM","","","","","","","","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"185772","occ","","","18225","Megalonyx sp.","genus","43603","","Megalonyx","","genus","43603","Hemphillian","","10.3","4.9","Leite","1990","2218","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-101.892197","41.300598","Lemoyne Quarry","","UNSM Kh-101; UW V-69015","US","Nebraska","Keith","based on political unit","4","small collection","6.4 km W of Lemoyne in S 1/2 sec 3 T15N R40W","gp_mid","-98.62","43.19","101","US","","Ash Hollow","","","","","McCon","2","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","967 specimens","","","","","clearly overlies the Shoreline localities\nLeite cites 858 small and 59 large mammal specimens, but then lists 109 identifiable large mammals (not counting the peccary and gomphothere); apparent total is 967\nVoorhies' small mammal list is apparently more up to date than Leite's\n""Anouroneomys minimus"" is actually from Black Butte: see Bown 1980; also omitted by Voorhies 1990\n""cf. Osteoborus sp."" is omitted by Wang et al. 1999","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"185986","occ","","","18247","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Late Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-98.126602","42.393501","Mailbox","","Mailbox Prospect; UNSM Ap-125","US","Nebraska","Antelope","stated in text","4","small collection","corner of secs 15, 16, 21, and 22, T28N, R7W: Parmley 1992","gp_mid","-94.68","44.17","101","US","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","","","","","","","","overlies Middle Landing, an unpublished locality","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"186402","occ","","","18299","Megalonychidae indet.","family","43596","","Megalonychidae","","family","43596","Clarendonian","","13.6","10.3","Skinner et al.","1977","3175","Chordata","Mammalia","Xenarthra","Megalonychidae","","","","","","-103.800003","42.400002","Olcott Hill (Laucomer Member)","","Olcott Hill Quarry: UNSM Sx-71","US","Nebraska","Sioux","based on political unit","1","small collection","Olcott Hill","gp_mid","-98.74","45.23","101","US","","Snake Creek","","Laucomer","","","Snake","7","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","UNSM","","","","","","","includes material of unclear provenance that actually may be from Hesperopithecus Site, Kilpatrick Quarry, or Olcott Quarry","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"186457","occ","6019","","18304","Megalonyx sp.","genus","43603","","Megalonyx","","genus","43603","Hemphillian","","10.3","4.9","Hirschfeld and Webb","1968","1919","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-101.400002","36.700001","Optima","","Guymon; OMNH V52; UCMP V-2902","US","Oklahoma","Texas","based on political unit","1","","Highway sand, Guymon, Texas County","gp_mid","-98.33","38.58","101","US","","Ogallala","","","","","","","","","","","Baskin 1981 says late Hemphillian","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","field collection","","some genera","","","","","","much closer to Optima than to Guymon<br>new material of Savage 1941 seems to be entirely from a later collection<br>see also Schultz 1990e","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"186459","occ","","","18305","Megalonychidae indet.","family","43596","","Megalonychidae","","family","43596","Clarendonian","Hemphillian","13.6","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","","","","","","-102.400002","41.400002","Oshkosh Quarry","","Gd-10","US","Nebraska","Garden","based on political unit","1","small collection","","gp_mid","-98.71","43.53","101","US","","Ash Hollow","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","NOT in clear superposition with any other locality<br>""Osteoborus sp."" and ""Canis davisi"" were listed by Breyer, but these  are omitted by Voorhies<br><br>not listed by Voorhies: ""Dinohippus cf. interpolatus"";  Astrohippus ansae","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"186593","occ","","","18323","Megalonyx curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-103.800003","42.400002","Pliohippus Draw (The Pits)","","Quarry 5; South of Pliohippus Draw","US","Nebraska","Sioux","based on political unit","1","","East Pliohippus Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"186855","occ","","","18359","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Late Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-97.846298","42.806801","Santee","","UNSM Kx-111","US","Nebraska","Knox","stated in text","4","outcrop","NE 1/4 NW 1/4 sec 25 T33N R5W: Parmley 1992","gp_mid","-94.37","44.58","101","US","","","","","member","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,sieve","UNSM","","","","","","","FT glass date of 5.0 +/- 0.2 Ma directly overlies site\nNOT in clear superposition with any other locality\nbased on Voorhies 1988, three localities separated by at least 50 feet of section are represented","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"187107","occ","","","18415","Megalonychidae indet.","family","43596","","Megalonychidae","","family","43596","Hemphillian","","10.3","4.9","Hirschfeld and Webb","1968","1919","Chordata","Mammalia","Xenarthra","Megalonychidae","","","","","","-99.900002","37.200001","Jack Swayze Quarry","","","US","Kansas","Clark","based on political unit","1","small collection","","gp_mid","-96.77","39.04","101","US","","Ogalalla","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","","","","some genera","","","","","","equids: Hulbert 1989 pers. commun.","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"187191","occ","","","18441","Megalonyx cf. curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Voorhies","1990","3510","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-103.000000","41.099998","Uptegrove","","UNSM Cn-101","US","Nebraska","Cheyenne","based on political unit","1","small collection","NNE of Sidney","gp_mid","-99.77","43.02","101","US","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","UNSM","","","","","","","""superposition"" of this fauna above Oshkosh and Greenwood Canyon indicated by Tedford et al. 1987 Fig. 6.2 appears to be based on fission track dates and biochronology<br>there are NO legitimate small mammals from this locality; ALL such records are recent intrusives<br>bogus list of Kent 1967: ""Citellus kimballensis"" type Thomomys sp. ""Perognathus sp.""","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"187612","occ","","","18499","Megalonyx curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Xenarthra","Megalonychidae","Megalonyx","","","","","-103.800003","42.400002","ZXBar","","Cook's Pliohippus Quarry","US","Nebraska","Sioux","based on political unit","1","small collection","East Pliohippus Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","9","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","presumably includes all material from the Upper Snake Creek of Pliohippus Draw that does NOT come from The Pits<br>specimen of Agriotherium sp. could be from the Laucomer Mbr.","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"187744","occ","","","18529","Pliometanastes protistus","species","50581","","Pliometanastes protistus","","species","50581","Hemphillian","","10.3","4.9","Hirschfeld and Webb","1968","1919","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-82.300003","29.100000","Dunnellon Phosphate Mining District","","","US","Florida","Marion","based on political unit","1","","","gp_mid","-79.24","30.36","109","US","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","","includes C. & J. Camp Blue River Mine; Cullen River Mine; Dunnellon Phosphate Company No. 6; Mutual Mine","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"187795","occ","","","18539","Pliometanastes sp.","genus","43606","","Pliometanastes","","genus","43606","early Early Hemphillian","late Early Hemphillian","10.3","4.9","MacFadden","1982","2367","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-82.566666","29.683332","Haile V/XIXA","","Haile 5A, 19A","US","Florida","Alachua","based on nearby landmark","minutes","small collection","""4 km northeast of Newberry, Alachua County... NE 1/4, Sec. 26, T. 9 S, R. 17 E."" (Becker 1986); coordinate based on Haile","gp_mid","-79.48","30.96","109","US","","","","","","","","","","","","","said to be Hemphillian by MacFadden 1982 and early Hemphillian by Becker 1986","""limestone quarry... Sediments are fluvial and include both 'gar-scale' and phosphatic gravels.""","""limestone""","","","","","conglomerate","phosphatic","","","","fluvial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","field collection","FLMNH","","","","","","","","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"187936","occ","","","18560","Pliometanastes n. sp. protistus","species","50581","","Pliometanastes protistus","","species","50581","Hemphillian","","10.3","4.9","Hirschfeld and Webb","1968","1919","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-82.599998","29.650000","McGehee Farm","","","US","Florida","Alachua","based on nearby landmark","minutes","","3 mi N of Newberry (basis of coordinate)\r\n""SW1/4, Sec. 15, T. 9 S., R. 17 E."" (Becker 1985)","gp_mid","-79.51","30.92","109","US","","Alachua","","","bed","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","","","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
"187937","occ","","","18560","Thinobadistes segnis","species","52245","","Thinobadistes segnis","","species","52245","Hemphillian","","10.3","4.9","Webb","1989","3572","Chordata","Mammalia","Xenarthra","Mylodontidae","Thinobadistes","","","","","-82.599998","29.650000","McGehee Farm","","","US","Florida","Alachua","based on nearby landmark","minutes","","3 mi N of Newberry (basis of coordinate)\r\n""SW1/4, Sec. 15, T. 9 S., R. 17 E."" (Becker 1985)","gp_mid","-79.51","30.92","109","US","","Alachua","","","bed","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"187974","occ","","","18563","Thinobadistes n. sp. segnis","species","52245","","Thinobadistes segnis","","species","52245","Hemphillian","","10.3","4.9","Webb","1989","3572","Chordata","Mammalia","Xenarthra","Mylodontidae","Thinobadistes","","","","","-82.599998","29.400000","Mixson's Bone Bed","","","US","Florida","Levy","based on political unit","1","","2 mi NE of Williston","gp_mid","-79.53","30.67","109","US","","Alachua","","","bed","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"187989","occ","","","18564","Pliometanastes protistus","species","50581","","Pliometanastes protistus","","species","50581","Hemphillian","","10.3","4.9","Hulbert","1988","1949","Chordata","Mammalia","Xenarthra","Megalonychidae","Pliometanastes","","","","","-82.300003","29.100000","Moss Acres Racetrack","","","US","Florida","Marion","based on political unit","1","outcrop","""NW 1/4, NE 1/4 sec. 11, T14S, R19E""","gp_mid","-79.24","30.36","109","US","","Alachua","","","bed","","","","","","","","","""fine-grained, virtually pure clay... 80% illite and 20% kaolinite, and contains numerous fine silica grains and isolated pockets of peat""","claystone","","","","","","","","","","pond","","""fluvially isolated, permanent pond""","macrofossils","","","","","","","","body","","","","","","","","","","","","","paleoecologic","field collection","","","","","","","","""cf. Procamelus sp."" is omitted by Lambert 1997","terrestrial","","actively mobile","arboreal","","folivore","viviparous","","hydroxyapatite","","",""
